step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,curr_x_L,curr_x_R,curr_z_L,curr_z_R,left_target,rcs_phase_with_place,right_target,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],policy[7],policy[8],policy[9],policy[10],policy[11],policy[12],policy[13],policy[14],policy[15],policy[16],policy[17],policy[18],policy[19],policy[20],policy[21],policy[22],policy[23],policy[24],policy[25],policy[26],policy[27],policy[28],critic[0],critic[1],critic[2],critic[3],critic[4],critic[5],critic[6],critic[7],critic[8],critic[9],critic[10],critic[11],critic[12],critic[13],critic[14],critic[15],critic[16],critic[17],critic[18],critic[19],critic[20],critic[21],critic[22],critic[23],critic[24],critic[25],critic[26],critic[27],critic[28],critic[29],critic[30],critic[31]
0,0.00011771646677516401,0.5,0.0,0.0,-3.2078816890716553,-0.08265228569507599,-3.1089208126068115,0.0,-0.3750080466270447,0.0,2.1350551535070927e-11,-9.701670716788513e-11,0.0006041103042662144,-0.06328077614307404,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-4.480201626355651e-11,-4.046584595185365e-11,3.6683513865432005e-11,3.632604980707832e-11,-4.56583382213438e-11,0.0,0.0,0.01630924642086029,1.5664308071136475,0.0744030624628067,0.06938815116882324,-0.016594573855400085,-1.0402889251708984,-1.9403342008590698,0.0,0.0,0.002435745671391487,0.0024933423846960068,0.02757839299738407,-0.06666909903287888,-0.019913136959075928,0.14958131313323975,0.006237674504518509,-0.024716753512620926,0.05416912958025932,0.1940988302230835,-0.3553069233894348,-0.27430257201194763,0.39897647500038147,0.04961444064974785,-0.24007847905158997,-0.11476758867502213,14.355158805847168,-10.234779357910156,0.23344536125659943,0.972369909286499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.00029991252813488245,0.5,0.0,0.0,-4.843446731567383,-0.001032818341627717,-0.22080519795417786,0.0,-0.37500128149986267,0.0,5.0182361738260184e-11,-9.701670716788513e-11,3.5207798646297306e-05,-0.1562572717666626,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-4.5120462921488524e-11,-4.088915317446151e-11,3.636900849923741e-11,3.5702767131606805e-11,-4.5339898502305687e-11,0.0,4.2330920127682525e-13,-0.11471255123615265,1.5139837265014648,0.03463450074195862,0.07354225218296051,0.013081509619951248,-1.0456749200820923,-1.9403342008590698,0.0,0.0,0.005534015595912933,0.028339041396975517,0.05965793877840042,-0.1282052993774414,-0.07447091490030289,0.22575891017913818,-0.006434394046664238,0.07114708423614502,0.04033000394701958,0.12548334896564484,-0.41798850893974304,-0.09675826132297516,0.41476234793663025,0.007703149225562811,-1.0808665752410889,-0.06546663492918015,10.096405982971191,-8.436393737792969,0.3826834261417389,0.9238795638084412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8.842937677400187e-05,0.5,0.0,0.0,-4.806598663330078,-0.0001397045998601243,-0.48536625504493713,0.0,-0.37498095631599426,0.0,4.95290371216317e-11,-9.701670716788513e-11,2.0232817405485548e-05,-0.265372097492218,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-4.529340791314951e-11,-4.140935511154353e-11,3.5790193725349084e-11,3.4696887724061654e-11,-4.51669535106447e-11,0.0,9.435146891209611e-13,0.16537915170192719,1.7388160228729248,0.06502695381641388,0.10139961540699005,-0.009980354458093643,-0.9825868010520935,-1.9403342008590698,0.0,0.0,0.021329304203391075,0.035799987614154816,0.1039961501955986,-0.20900309085845947,-0.10443845391273499,0.3044241666793823,0.0028500575572252274,0.04079650714993477,0.10488513857126236,0.22252443432807922,-0.38601016998291016,-0.17928455770015717,0.347583532333374,0.0008298099273815751,-1.105325698852539,-0.21764378249645233,4.001729965209961,-5.064777851104736,0.5224985480308533,0.8526401519775391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2.2278927644947544e-05,0.5,0.0,0.0,-4.586209297180176,-0.00017135649977717549,-0.043164778500795364,0.0,-0.374977707862854,0.0,6.009266001472113e-11,-9.701670716788513e-11,2.5943734272004804e-06,-0.4026205241680145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-4.6184750468469815e-11,-4.086663299429638e-11,3.499948247887019e-11,3.334222134498965e-11,-4.4275607485877444e-11,0.0,4.007875845438158e-13,-0.12540116906166077,1.9940755367279053,0.1476197987794876,0.11280517280101776,0.005061350762844086,-0.965888500213623,-1.9403342008590698,0.0,0.0,0.041328027844429016,0.03650733828544617,0.13240063190460205,-0.30133795738220215,-0.1533919870853424,0.398072749376297,-0.006634227931499481,0.12015379965305328,0.1150674968957901,0.17505517601966858,-0.3947553038597107,-0.3192061483860016,0.4349229037761688,0.027291154488921165,-0.847104549407959,-0.3313698470592499,2.126525640487671,-5.913585662841797,0.649448037147522,0.760405957698822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3.040105184481945e-05,0.5,0.0,0.0,-3.8163809776306152,-0.0002399135410087183,-0.035785410553216934,0.0,-0.3750121593475342,0.0,6.567153765235645e-11,-9.701670716788513e-11,1.442261805095768e-06,-0.5673164129257202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-4.735347183815186e-11,-3.9960125486349085e-11,3.399068526643845e-11,3.1655979920719446e-11,-4.31068861161954e-11,0.0,-5.057186223608734e-13,0.04511116445064545,2.002609968185425,-0.06383982300758362,0.1444239765405655,-0.022184574976563454,-0.9943134784698486,-1.9403342008590698,0.0,0.0,0.05589963495731354,0.04994514584541321,0.18896666169166565,-0.3820825219154358,-0.22387471795082092,0.466959685087204,0.002434752881526947,0.07270675152540207,0.0922851487994194,0.22655169665813446,-0.44237756729125977,-0.32694587111473083,0.43784746527671814,0.010700381360948086,-0.8032754063606262,-0.34400245547294617,1.4928311109542847,-7.695408344268799,0.760405957698822,0.649448037147522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3.653752719401382e-05,0.5,0.0,0.0,-3.2835681438446045,-0.0014707521768286824,-0.11802073568105698,0.0,-0.37502753734588623,0.0,6.366381033462432e-11,-9.701670716788513e-11,2.079873866023263e-06,-0.6006709337234497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-4.262672159693892e-11,-4.009546167305089e-11,3.117531580110189e-11,2.965160755818985e-11,-4.783363982685529e-11,0.0,-3.7038026725472184e-13,0.060528144240379333,2.2112929821014404,0.15568126738071442,0.25951072573661804,-0.03191814571619034,-1.0054137706756592,-1.9403342008590698,0.0,0.0,0.08923102170228958,0.07016491144895554,0.22291533648967743,-0.45807355642318726,-0.277168869972229,0.39161092042922974,-0.002405129838734865,0.1035807728767395,0.04348353296518326,0.17691054940223694,-0.44581037759780884,-0.2620422840118408,-0.3951180577278137,-0.023389091715216637,-0.7486060857772827,-0.3219866454601288,-0.17172251641750336,-10.700048446655273,0.8526401519775391,0.522498607635498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.00023068480368237942,0.5,0.0,0.0,-3.2125837802886963,-0.001508357934653759,-0.11963080614805222,0.0,-0.37490761280059814,0.0,5.675352895972985e-11,-9.701670716788513e-11,1.3582555766333826e-05,-0.6378480195999146,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-3.7474863490150057e-11,-4.091873714862082e-11,2.8483210581797813e-11,2.719819335028628e-11,-5.2985501403091106e-11,0.0,4.528969430386831e-13,-0.08085993677377701,1.7300169467926025,-0.18313099443912506,0.22102858126163483,0.039771001785993576,-0.9885767102241516,-1.9403342008590698,0.0,0.0,0.11767149716615677,0.07512026280164719,0.275255024433136,-0.5157050490379333,-0.31695854663848877,0.30869075655937195,-0.008959797210991383,0.17400644719600677,0.0609089620411396,0.19804421067237854,-0.33083829283714294,-0.14710895717144012,-0.411769837141037,0.018227089196443558,-0.6403143405914307,-0.40398508310317993,-2.1773171424865723,-7.885404586791992,0.9238795638084412,0.3826834261417389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.05367215350270271,0.5,0.0,0.0,-3.5720865726470947,-0.0039206817746162415,-0.04142121225595474,0.0,-0.3745976388454437,0.0,2.4003701803998467e-11,-9.701670716788513e-11,0.011620542034506798,-0.5877293348312378,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-3.51120937880367e-11,-4.060886002466013e-11,2.5344301310403772e-11,2.4267442222392077e-11,-5.534826763575751e-11,0.0,1.4301538740161407e-13,0.15365417301654816,-0.2558979392051697,0.11789263784885406,0.2268611341714859,0.0013654865324497223,-0.9543982744216919,-1.9403342008590698,0.0,0.0,0.14595387876033783,0.08020148426294327,0.2694542407989502,-0.5176529288291931,-0.34047892689704895,0.22934836149215698,-0.006508665159344673,0.13850116729736328,-0.041898634284734726,-0.0680217370390892,0.18508772552013397,-0.014487436972558498,-0.42084169387817383,-0.032888855785131454,-0.2968837320804596,-0.4549126923084259,-3.3013923168182373,-6.22467041015625,0.972369909286499,0.2334454208612442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.20720937848091125,0.5,0.0,0.0,-3.2190561294555664,-0.00030952109955251217,-2.057634115219116,0.0,-0.37494686245918274,0.0,-2.061800036257111e-11,-9.701670716788513e-11,0.794447124004364,-0.5833215713500977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-4.00500986541541e-11,-3.899801315210283e-11,2.1822987861241927e-11,2.0889076926544625e-11,-5.041025583074621e-11,0.0,-1.467826945059092e-12,-0.08976978808641434,-1.1695774793624878,-0.11406329274177551,0.29102709889411926,0.03705836459994316,-0.9666224718093872,-1.9403342008590698,0.0,0.0,0.18441779911518097,0.07241355627775192,0.2590353786945343,-0.4630451202392578,-0.3208279311656952,0.30152514576911926,-0.004053815733641386,0.1207105740904808,0.01006502564996481,-0.08506520837545395,0.2638188600540161,0.0374470129609108,0.33536645770072937,0.04575526714324951,-0.31265777349472046,-0.3279362618923187,8.69119644165039,-14.093904495239258,0.9969173073768616,0.07845908403396606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.24960897862911224,0.5,0.0,0.0,-3.2303149700164795,-0.000628915149718523,-0.010336420498788357,0.0,-0.37502938508987427,0.0,-3.5817172144847476e-11,-9.701670716788513e-11,2.0401923656463623,-0.5782151818275452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-4.517406934634316e-11,-3.764879727419235e-11,1.8384545621974446e-11,1.7069488184029424e-11,-4.52862886080041e-11,0.0,-2.8170465092569597e-12,0.10354305803775787,-1.2969675064086914,-0.015096023678779602,0.2512383460998535,0.024516087025403976,-0.9438188076019287,-1.9403342008590698,0.0,0.0,0.20639631152153015,0.06213011592626572,0.22357098758220673,-0.40510523319244385,-0.31405574083328247,0.38214221596717834,0.00469652283936739,0.2198207676410675,-0.07536662369966507,-0.09885111451148987,0.27112218737602234,0.09973198175430298,0.42827320098876953,0.026633692905306816,-0.3350091278553009,-0.22307264804840088,9.67315673828125,-14.334528923034668,0.9969173073768616,-0.07845905423164368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.08195935189723969,0.5,0.0,0.0,-3.214324712753296,-0.0006963133346289396,-0.030943088233470917,0.0,-0.37502044439315796,0.0,-3.0042010545905384e-11,-9.701670716788513e-11,0.8557331562042236,-0.6123953461647034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-4.9374733468443566e-11,-3.6682358539597004e-11,1.502559882071708e-11,1.2869292437267532e-11,-4.1085624485903693e-11,0.0,-3.7834852438523026e-12,-0.08542703837156296,-0.7231563329696655,0.1546390801668167,0.1757574826478958,-0.014590196311473846,-0.9793155789375305,-1.9403342008590698,0.0,0.0,0.25922513008117676,0.06450093537569046,0.19824552536010742,-0.37870535254478455,-0.29120194911956787,0.4729899764060974,-0.007425268646329641,0.19696226716041565,-0.008719557896256447,-0.07793426513671875,0.1545269936323166,0.009583055973052979,0.40807682275772095,0.03028431534767151,-0.35334160923957825,-0.2651239037513733,7.932374000549316,-14.58328628540039,0.9723699688911438,-0.23344527184963226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0334804393351078,0.5,0.0,0.0,-3.2807562351226807,-0.0007401001057587564,-0.03806065395474434,0.0,-0.37503594160079956,0.0,-1.2707229365971351e-11,-9.701670716788513e-11,0.17788952589035034,-0.6871588230133057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-5.216976503574777e-11,-3.6519967605563863e-11,1.1511552128196101e-11,8.25327913650531e-12,-3.8290592918599486e-11,0.0,-3.9458753105237054e-12,0.07614670693874359,-0.2782418429851532,-0.15760983526706696,0.18576443195343018,-0.04504038393497467,-1.0182298421859741,-1.9403342008590698,0.0,0.0,0.2992589771747589,0.05215092748403549,0.20413975417613983,-0.3718881905078888,-0.2928043007850647,0.5421708822250366,-0.0072435038164258,0.20475077629089355,-0.019085172563791275,0.01606757752597332,-0.08534280210733414,0.007099962327629328,0.3614591658115387,0.028340864926576614,-0.45264899730682373,-0.20885811746120453,6.495087623596191,-15.897533416748047,0.9238795638084412,-0.3826833963394165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0005429539596661925,0.5,0.0,0.0,-3.2455005645751953,-0.19198063015937805,-0.2195350080728531,0.0,-0.3730112314224243,0.0,1.3114184217732916e-11,-9.701670716788513e-11,0.0028149643912911415,-0.8055316209793091,0.0,-7.4312567710876465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012170190922915936,0.0,35.048702239990234,0.15000000596046448,-5.32626234783784e-11,-3.715628499323387e-11,8.17602843067311e-12,3.847342583407354e-12,-3.7197731006521906e-11,41.58271408081055,-3.309559657577177e-12,0.18843044340610504,1.5415029525756836,-0.11689995229244232,0.16876551508903503,0.008060261607170105,-0.95855712890625,-1.9403342008590698,0.0,0.0,0.3362555503845215,0.05381845682859421,0.19766563177108765,-0.41011571884155273,-0.28866541385650635,0.6197651624679565,0.008194422349333763,0.0029373287688940763,-0.009324664250016212,0.1580275297164917,-0.28102970123291016,-0.21797001361846924,0.25531256198883057,0.000799244677182287,-0.5355879068374634,-0.21426698565483093,1.8117865324020386,-15.782276153564453,0.8526402115821838,-0.5224984884262085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.05253619700670242,0.5,0.0,0.0,-3.4615111351013184,-0.002058561658486724,-0.08746152371168137,0.0,-0.37689030170440674,0.0,1.9572168538650736e-11,-9.701670716788513e-11,0.017059488222002983,-0.7465938329696655,0.0,-7.4312567710876465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014614332467317581,0.0,34.815887451171875,0.15000000596046448,-4.930741578923481e-11,-3.719127436574432e-11,6.801284795771023e-12,3.843688822086078e-12,-4.115294216511245e-11,41.30592727661133,-3.2745689840241177e-12,-0.07411657273769379,-0.1845998913049698,-0.1282607913017273,0.21727369725704193,0.041324686259031296,-0.9782974123954773,-1.9403342008590698,0.0,0.0,0.3359707295894623,0.07407113164663315,0.21544800698757172,-0.4290219843387604,-0.29318538308143616,0.5559482574462891,0.0017623594030737877,-0.007048493716865778,-0.05283107981085777,-0.024920476600527763,-0.10890432447195053,0.044819176197052,-0.33970698714256287,0.02775372378528118,-0.5475176572799683,-0.16466529667377472,-1.0051137208938599,-16.68151092529297,0.760405957698822,-0.649448037147522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.5618229508399963,0.5,0.0,0.0,-3.2112553119659424,-0.0005470090545713902,-0.07684885710477829,0.0,-0.3750845193862915,0.0,-3.0336330669733513e-11,-9.701670716788513e-11,2.6047537326812744,-0.8206194043159485,0.0,-7.4312567710876465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010800817981362343,0.0,34.40550994873047,0.15000000596046448,-4.989657298448691e-11,-3.716651639229518e-11,7.872272278497405e-12,3.8427277852803865e-12,-4.05637884393073e-11,40.8006591796875,-3.2993284753563e-12,0.19376347959041595,-1.9768424034118652,-0.01640351116657257,0.13893373310565948,0.02906620129942894,-0.9376176595687866,-1.9403342008590698,0.0,0.0,0.3408147990703583,0.060031332075595856,0.19200073182582855,-0.4436552822589874,-0.26705285906791687,0.6226479411125183,-0.00945028942078352,-0.004342210479080677,-0.02866213396191597,-0.20985880494117737,0.103119395673275,0.25745412707328796,0.37564173340797424,0.005512112285941839,-0.3814640939235687,-0.15265651047229767,1.7391623258590698,-17.036640167236328,0.649448037147522,-0.760405957698822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.5422684550285339,0.5,0.0,0.0,-3.2129392623901367,-0.000495283049531281,-0.35194724798202515,0.0,-0.3753262460231781,0.0,-5.85910764350217e-11,-9.701670716788513e-11,7.860345363616943,-0.6722456812858582,0.0,-7.4312567710876465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008218333125114441,0.0,33.62111282348633,0.15000000596046448,-4.588317573106515e-11,-3.7159282595400356e-11,6.785955478094685e-12,3.844383578838206e-12,-4.457718222328211e-11,39.875240325927734,-3.3065618385702544e-12,-0.1286555975675583,-1.6379551887512207,0.11614049971103668,0.14022353291511536,-0.01812112331390381,-0.9847150444984436,-1.9403342008590698,0.0,0.0,0.3307992219924927,0.05366627126932144,0.15398159623146057,-0.3943440914154053,-0.22364072501659393,0.5518667697906494,0.0093854870647192,-0.03670574724674225,-0.09391077607870102,-0.18600721657276154,0.11156773567199707,0.15338385105133057,-0.34840887784957886,-0.012016779743134975,-0.3663211464881897,-0.11209361255168915,-4.168508529663086,-17.57726287841797,0.5224986672401428,-0.8526400923728943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
