step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],policy[7],policy[8],policy[9],policy[10],policy[11],policy[12],policy[13],policy[14],policy[15],policy[16],policy[17],policy[18],policy[19],policy[20],policy[21],policy[22],policy[23],policy[24],policy[25],policy[26],policy[27],policy[28],critic[0],critic[1],critic[2],critic[3],critic[4],critic[5],critic[6],critic[7],critic[8],critic[9],critic[10],critic[11],critic[12],critic[13],critic[14],critic[15],critic[16],critic[17],critic[18],critic[19],critic[20],critic[21],critic[22],critic[23],critic[24],critic[25],critic[26],critic[27],critic[28],critic[29],critic[30],critic[31]
0,0.0006319039966911077,0.5,0.0,0.0,-4.516554832458496,-0.00015262428496498615,-0.19874660670757294,0.0,-0.49613890051841736,0.0,3.4283600264251035e-11,-5.00000006675716e-11,0.04840034246444702,-4.727001667022705,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.07983468472957611,3.058035135269165,-0.16350242495536804,0.051332470029592514,0.017517607659101486,-1.037509799003601,-1.0,0.0,0.0,-0.0009111985564231873,0.02482694201171398,0.05609264224767685,-0.13889247179031372,-0.03225620836019516,0.5607981085777283,0.020996173843741417,0.03737378120422363,0.05589158460497856,0.25100311636924744,-0.3980807960033417,-0.3955570161342621,-0.4386141002178192,-0.5295871496200562,-0.38421550393104553,-0.7183774709701538,-4.346393585205078,-0.5655390024185181,0.23344536125659943,0.972369909286499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.12415928393602371,0.5,0.0,0.0,-1.628127098083496,-0.005457502789795399,-0.06464827060699463,0.0,-0.08936583995819092,0.0,6.031269927930794e-11,-5.00000006675716e-11,0.0777561366558075,-4.316636562347412,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.12371844798326492,0.7653221487998962,0.11954216659069061,0.07665438950061798,0.010788466781377792,-1.0329381227493286,-1.0,0.0,0.0,0.013116832822561264,0.03246848285198212,0.0813823863863945,-0.16771067678928375,-0.08303278684616089,0.4888290464878082,0.09003669023513794,0.033915724605321884,-0.0023409456480294466,0.047645725309848785,-0.02958727441728115,-0.16633613407611847,-0.4078013002872467,0.4646337032318115,-0.16417497396469116,-0.1357300877571106,-2.0383212566375732,0.3003326654434204,0.3826834261417389,0.9238795638084412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.01405924092978239,0.5,0.0,0.0,-1.7428265810012817,-0.0025350849609822035,-0.02394985221326351,0.0,-0.4270070791244507,0.0,3.463216172172601e-11,-5.00000006675716e-11,0.17270953953266144,-4.706061840057373,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.15718594193458557,1.9523086547851562,0.09100915491580963,0.07634280622005463,0.0013752318918704987,-0.9580444097518921,-1.0,0.0,0.0,0.01628263294696808,0.03753750026226044,0.10869617760181427,-0.18863710761070251,-0.13644617795944214,0.40670374035835266,0.028794260695576668,0.08009757101535797,0.0898643508553505,0.23223629593849182,-0.10717582702636719,-0.3701072633266449,-0.3762871325016022,-0.32079315185546875,-0.18146094679832458,-0.4128609895706177,-3.4922449588775635,-0.15132053196430206,0.5224985480308533,0.8526401519775391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.3570420742034912,0.5,0.0,0.0,-1.9759269952774048,-0.0037451540119946003,-0.012651365250349045,0.0,0.0,0.0,3.2248637787946066e-11,-5.00000006675716e-11,1.201989769935608,-4.4011969566345215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.055245012044906616,0.08998332917690277,-0.16420526802539825,0.08518354594707489,-0.018488295376300812,-0.95109623670578,-1.0,0.0,0.0,0.031577304005622864,0.03118220902979374,0.11923039704561234,-0.19064997136592865,-0.1774110198020935,0.3263412415981293,0.11989106982946396,0.08355086296796799,0.005257076118141413,-0.03472999855875969,0.04222750663757324,-0.0046609193086624146,-0.3159683048725128,0.45730024576187134,-0.2571077346801758,-0.0842166319489479,-2.6124496459960938,0.462981641292572,0.649448037147522,0.760405957698822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.004445652011781931,0.5,0.0,0.0,-1.6575696468353271,-0.00033173942938447,-0.01604487933218479,0.0,-0.4116266965866089,0.0,2.698908804776856e-11,-5.00000006675716e-11,0.18749919533729553,-4.980266571044922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.03060145676136017,2.2778639793395996,0.07040448486804962,0.1681240051984787,0.03168237581849098,-0.9632865786552429,-1.0,0.0,0.0,0.045230381190776825,0.04921510070562363,0.15561795234680176,-0.2332182675600052,-0.21853838860988617,0.2489820271730423,0.03961849957704544,0.06463103741407394,0.10717643797397614,0.2388860285282135,-0.3424372375011444,-0.29643598198890686,-0.3794499337673187,-0.5413005352020264,-0.3652043044567108,-0.41245943307876587,-3.597618818283081,-0.254305899143219,0.760405957698822,0.649448037147522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.9919279217720032,0.5,0.0,0.0,-3.466113567352295,-0.0014952992787584662,-0.03115592896938324,0.0,0.0,0.0,1.8015266362025883e-11,-5.00000006675716e-11,9.023329734802246,-4.874295711517334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.1381211280822754,-1.8830921649932861,0.05355452001094818,0.16711552441120148,-0.01622980460524559,-0.951227068901062,-1.0,0.0,0.0,0.0794394463300705,0.03627581149339676,0.14485777914524078,-0.21250741183757782,-0.1888093650341034,0.17046204209327698,0.13413424789905548,0.11579032242298126,-0.08277489989995956,-0.1594839245080948,0.17241287231445312,0.421304315328598,-0.36122286319732666,0.5447973608970642,-0.20886015892028809,0.1840871274471283,-2.2681174278259277,0.7294155359268188,0.8526401519775391,0.522498607635498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.004072579555213451,0.5,0.0,0.0,-3.5128395557403564,-0.00312081933952868,-0.07471522688865662,0.0,-0.5365478992462158,0.0,-5.781814263472462e-12,-5.00000006675716e-11,1.5870282649993896,-5.604602813720703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,-0.09768632799386978,2.5605528354644775,0.07875771820545197,0.17486633360385895,0.04630264267325401,-1.0299272537231445,-1.0,0.0,0.0,0.10931850224733353,0.046425722539424896,0.17862118780612946,-0.29355141520500183,-0.1976679563522339,0.08954603224992752,0.02183336578309536,0.18699359893798828,0.10878310352563858,0.2705521583557129,-0.4206537902355194,-0.2286001741886139,-0.3737470507621765,-0.5174168348312378,-0.5971143245697021,-0.4123278260231018,-4.1161932945251465,-1.1546456813812256,0.9238795638084412,0.3826834261417389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.9515866637229919,0.5,0.0,0.0,-1.9851757287979126,-0.0003182257933076471,-0.07600535452365875,0.0,-1.0190099477767944,0.0,1.5923177706933522e-11,-5.00000006675716e-11,10.906524658203125,-6.220746994018555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.10068492591381073,-1.931147813796997,-0.03668907284736633,0.17405761778354645,0.02324521169066429,-1.0293207168579102,-1.0,0.0,0.0,0.13242433965206146,0.03706706315279007,0.16721603274345398,-0.27027735114097595,-0.14989016950130463,0.00666450522840023,0.01669955626130104,0.13041451573371887,-0.0584104061126709,-0.14175967872142792,0.2576950192451477,0.37670621275901794,-0.3644179403781891,0.038529932498931885,-0.1264079064130783,0.22473227977752686,-1.7447047233581543,0.006890907883644104,0.972369909286499,0.2334454208612442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.2230667769908905,0.5,0.0,0.0,-3.337466239929199,-0.0023011802695691586,-0.04143822565674782,0.0,-1.3963168859481812,0.0,-3.218574365360105e-11,-5.00000006675716e-11,15.635186195373535,-6.708440780639648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.027397170662879944,0.32226818799972534,-0.17522048950195312,0.1945861428976059,0.022646378725767136,-0.9442567229270935,-1.0,0.0,0.0,0.1706366091966629,0.03482700139284134,0.1512024849653244,-0.2925366163253784,-0.10534252226352692,-0.03559212386608124,-0.03398685157299042,0.17997591197490692,0.04458668455481529,0.019087208434939384,-0.2988499402999878,0.2151738703250885,-0.021526625379920006,0.007426142692565918,-0.5148792266845703,0.037864819169044495,-3.6515891551971436,-0.5603699088096619,0.9969173073768616,0.07845908403396606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.9999842643737793,0.5,0.0,0.0,-3.2879796028137207,-0.0019104174571111798,-0.016639143228530884,0.0,-1.3961559534072876,0.0,-1.3333557348504943e-11,-5.00000006675716e-11,20.69234275817871,-6.842987060546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.01818123459815979,-1.4044976234436035,0.17414049804210663,0.17375224828720093,-0.004111982882022858,-0.9945390820503235,-1.0,0.0,0.0,0.2119949758052826,0.042771995067596436,0.13295991718769073,-0.3015366792678833,-0.014486722648143768,-0.03492828458547592,-0.018118927255272865,0.1749277561903,-0.014991861768066883,-0.14171986281871796,0.12648551166057587,0.3655862510204315,0.03554696962237358,0.0034199715591967106,-0.1841062307357788,0.18371345102787018,-2.4633262157440186,-0.9085983037948608,0.9969173073768616,-0.07845905423164368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
