step,sim_time,env_id,prismz,prismx,RevoluteJoint,q1_left,q1_right,q2_left,q2_right
0,0.0,0,0.0036787502,7.461094e-10,-2.528488e-20,1.105497e-18,-1.3669775e-18,1.0030076e-20,1.398302e-19
1,0.005,0,0.029429998,5.9688747e-09,1.5178901e-19,2.1959987e-18,-2.6779728e-18,2.1027682e-20,2.779213e-19
2,0.01,0,0.079706274,1.6165705e-08,9.0576926e-17,-5.2157253e-18,-8.709218e-18,-6.8520483e-19,1.1543374e-19
3,0.015,0,0.15450753,3.133659e-08,5.349849e-16,-1.2598474e-17,-1.2473844e-17,-1.3180521e-18,1.3208514e-19
4,0.02,0,0.25383374,5.1481557e-08,1.361251e-15,-1.5611813e-17,-1.3229918e-17,-1.5929569e-18,2.2705816e-19
5,0.025,0,0.32000256,0.0042067873,0.034863904,-0.14953351,-0.17009786,0.21070705,0.23750272
6,0.030000000000000002,0,0.33601803,-0.017215025,0.034899466,-0.33071187,-0.36984044,0.41327038,0.48490122
7,0.035,0,0.36548173,-0.045091182,0.0348962,-0.5152862,-0.570422,0.61501396,0.73207057
8,0.04,0,0.40902755,-0.07740715,0.034906827,-0.70619273,-0.76980937,0.823165,0.9800585
9,0.045,0,0.3959252,-0.15250501,-0.06970626,-0.562072,-0.5989881,0.7019816,0.7418489
10,0.049999999999999996,0,0.3674741,-0.16073649,-0.05528457,-0.4377211,-0.44276977,0.610206,0.6300312
11,0.05499999999999999,0,0.35478428,-0.1591239,-0.02014351,-0.39163125,-0.38323796,0.56856555,0.588632
12,0.05999999999999999,0,0.35195777,-0.16256772,-0.019308062,-0.37495446,-0.36144602,0.5488121,0.5729678
13,0.06499999999999999,0,0.3394267,-0.16015692,0.015429774,-0.35380667,-0.35525528,0.4102185,0.4014025
14,0.06999999999999999,0,0.33564034,-0.1631407,0.03491447,-0.35053194,-0.34774083,0.34191594,0.33869663
15,0.075,0,0.33559424,-0.17621282,0.03245218,-0.3492978,-0.34673688,0.31899592,0.31529224
16,0.08,0,0.33674958,-0.19343576,0.022500942,-0.3489433,-0.34624696,0.31042844,0.30667412
17,0.085,0,0.33051583,-0.2421954,-0.0697252,-0.17012012,-0.17081903,0.13505454,0.056109346
18,0.09000000000000001,0,0.3318218,-0.2538417,-0.056140665,-0.09726039,-0.09572566,-0.06519632,-0.15112714
19,0.09500000000000001,0,0.3402146,-0.26265562,-0.02869731,-0.0735728,-0.06472617,-0.21107385,-0.23342443
20,0.10000000000000002,0,0.34731522,-0.28264335,-0.031698518,-0.06446117,-0.053582195,-0.26422334,-0.26382548
21,0.10500000000000002,0,0.3543784,-0.31215274,-0.05247494,-0.23033954,0.1293777,-0.07278314,-0.51260555
22,0.11000000000000003,0,0.37482965,-0.3418828,-0.06948863,-0.31100464,0.27467462,0.02567882,-0.7595877
23,0.11500000000000003,0,0.38436213,-0.3671334,-0.0699157,-0.3490279,0.33036226,0.041687135,-1.0049148
24,0.12000000000000004,0,0.38860327,-0.3770895,-0.06990212,-0.36418173,0.34948665,0.04717139,-1.1398664
25,0.12500000000000003,0,0.39792815,-0.34750262,0.029646844,-0.5643548,0.155201,0.20093466,-0.89027417
26,0.13000000000000003,0,0.41995963,-0.35893765,0.03489241,-0.75614744,-0.03411918,0.3985657,-0.6431095
27,0.13500000000000004,0,0.41814658,-0.3844812,0.019642282,-0.8689419,-0.2216061,0.5977468,-0.40389484
28,0.14000000000000004,0,0.42,-0.4297028,-0.036744047,-0.90792596,-0.31058034,0.7932901,-0.22453459
29,0.14500000000000005,0,0.4199994,-0.4617659,-0.0698275,-0.7289958,-0.41193044,0.5935658,-0.06816288
30,0.15000000000000005,0,0.41383785,-0.4761282,-0.0698187,-0.5752156,-0.44736207,0.3841405,-0.009953562
31,0.15500000000000005,0,0.4126449,-0.4867267,-0.060202535,-0.507049,-0.46293935,0.1880881,0.0108889425
32,0.16000000000000006,0,0.42,-0.5025398,-0.0482575,-0.48641586,-0.46555135,0.079531394,0.019162424
33,0.16500000000000006,0,0.41999906,-0.49779984,0.034859475,-0.67771906,-0.6478792,0.27278286,0.2660549
34,0.17000000000000007,0,0.41999876,-0.53017277,0.02599112,-0.7875756,-0.8398134,0.44192317,0.5164966
35,0.17500000000000007,0,0.41999975,-0.5640873,0.0064541246,-0.826162,-1.0391059,0.51077896,0.7667262
36,0.18000000000000008,0,0.41999796,-0.59738904,-0.018229306,-0.8386994,-1.221388,0.53642374,1.0162383
37,0.18500000000000008,0,0.41876036,-0.63317394,-0.06981236,-0.67324907,-1.0538749,0.33939227,0.77359897
38,0.19000000000000009,0,0.41881996,-0.6423962,-0.07001341,-0.48125574,-0.8543758,0.12255157,0.5276239
39,0.1950000000000001,0,0.41303176,-0.63951933,-0.065712884,-0.36044705,-0.6552813,-0.08957411,0.27904427
40,0.2000000000000001,0,0.42,-0.6260284,-0.03512799,-0.31280786,-0.46316725,-0.28900307,0.030016879
41,0.2050000000000001,0,0.41999996,-0.6086997,0.034906637,-0.4607128,-0.6192319,-0.14021896,0.18758136
42,0.2100000000000001,0,0.41999996,-0.62459236,0.03490659,-0.65307623,-0.8177848,0.059230268,0.43685988
43,0.2150000000000001,0,0.42,-0.63863254,0.034906596,-0.8505195,-1.0175804,0.2591055,0.6866993
